Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
TH2,NO2,18/04/2019 00:00,29.1,ug m-3,R
TH2,NO2,18/04/2019 01:00,28.2,ug m-3,R
TH2,NO2,18/04/2019 02:00,30.2,ug m-3,R
TH2,NO2,18/04/2019 03:00,30.7,ug m-3,R
TH2,NO2,18/04/2019 04:00,28.8,ug m-3,R
TH2,NO2,18/04/2019 05:00,31.2,ug m-3,R
TH2,NO2,18/04/2019 06:00,34.3,ug m-3,R
TH2,NO2,18/04/2019 07:00,34.7,ug m-3,R
TH2,NO2,18/04/2019 08:00,39.8,ug m-3,R
TH2,NO2,18/04/2019 09:00,75.2,ug m-3,R
TH2,NO2,18/04/2019 10:00,82.7,ug m-3,R
TH2,NO2,18/04/2019 11:00,46.8,ug m-3,R
TH2,NO2,18/04/2019 12:00,36.2,ug m-3,R
TH2,NO2,18/04/2019 13:00,36.5,ug m-3,R
TH2,NO2,18/04/2019 14:00,43.8,ug m-3,R
TH2,NO2,18/04/2019 15:00,40.4,ug m-3,R
TH2,NO2,18/04/2019 16:00,45.7,ug m-3,R
TH2,NO2,18/04/2019 17:00,60,ug m-3,R
TH2,NO2,18/04/2019 18:00,61.8,ug m-3,R
TH2,NO2,18/04/2019 19:00,68.2,ug m-3,R
TH2,NO2,18/04/2019 20:00,78.6,ug m-3,R
TH2,NO2,18/04/2019 21:00,82.7,ug m-3,R
TH2,NO2,18/04/2019 22:00,83.6,ug m-3,R
TH2,NO2,18/04/2019 23:00,73.9,ug m-3,R
TH2,NO2,19/04/2019 00:00,66.9,ug m-3,R
TH2,NO2,19/04/2019 01:00,55.5,ug m-3,R
TH2,NO2,19/04/2019 02:00,45.8,ug m-3,R
TH2,NO2,19/04/2019 03:00,40.3,ug m-3,R
TH2,NO2,19/04/2019 04:00,42.3,ug m-3,R
TH2,NO2,19/04/2019 05:00,40.6,ug m-3,R
TH2,NO2,19/04/2019 06:00,41.3,ug m-3,R
TH2,NO2,19/04/2019 07:00,49.4,ug m-3,R
